"filename", "language", "JSON", "JSON with Comments", "TypeScript", "Markdown", "YAML", "comment", "blank", "total"
"c:\Users\Usuario\Desktop\Practica Angular\14-Clean-Architecture-Node-Express-Mongo\src\domain\use-cases\customers\get-all-cities.use-case.ts", "TypeScript", 0, 0, 28, 0, 0, 3, 5, 36
"c:\Users\Usuario\Desktop\Practica Angular\14-Clean-Architecture-Node-Express-Mongo\src\domain\use-cases\customers\get-all-customers.use-case.ts", "TypeScript", 0, 0, 28, 0, 0, 3, 5, 36
"c:\Users\Usuario\Desktop\Practica Angular\14-Clean-Architecture-Node-Express-Mongo\src\domain\use-cases\customers\get-all-neighborhoods.use-case.ts", "TypeScript", 0, 0, 28, 0, 0, 3, 5, 36
"c:\Users\Usuario\Desktop\Practica Angular\14-Clean-Architecture-Node-Express-Mongo\src\domain\use-cases\customers\get-city-by-id..use-case.ts", "TypeScript", 0, 0, 25, 0, 0, 2, 5, 32
"c:\Users\Usuario\Desktop\Practica Angular\14-Clean-Architecture-Node-Express-Mongo\src\domain\use-cases\customers\get-customer-by-email.use-case.ts", "TypeScript", 0, 0, 26, 0, 0, 3, 5, 34
"c:\Users\Usuario\Desktop\Practica Angular\14-Clean-Architecture-Node-Express-Mongo\src\domain\use-cases\customers\get-customer-by-id.use-case.ts", "TypeScript", 0, 0, 25, 0, 0, 2, 5, 32
"c:\Users\Usuario\Desktop\Practica Angular\14-Clean-Architecture-Node-Express-Mongo\src\domain\use-cases\customers\get-neighborhood-by-id.use-case.ts", "TypeScript", 0, 0, 25, 0, 0, 2, 5, 32
"c:\Users\Usuario\Desktop\Practica Angular\14-Clean-Architecture-Node-Express-Mongo\src\domain\use-cases\customers\update-city.use-case.ts", "TypeScript", 0, 0, 27, 0, 0, 2, 4, 33
"c:\Users\Usuario\Desktop\Practica Angular\14-Clean-Architecture-Node-Express-Mongo\src\domain\use-cases\customers\update-customer.use-case.ts", "TypeScript", 0, 0, 38, 0, 0, 4, 6, 48
"c:\Users\Usuario\Desktop\Practica Angular\14-Clean-Architecture-Node-Express-Mongo\src\domain\use-cases\customers\update-neighborhood.use-case.ts", "TypeScript", 0, 0, 32, 0, 0, 3, 5, 40
"c:\Users\Usuario\Desktop\Practica Angular\14-Clean-Architecture-Node-Express-Mongo\src\domain\use-cases\product\create-category.use-case.ts", "TypeScript", 0, 0, 33, 0, 0, 4, 15, 52
"c:\Users\Usuario\Desktop\Practica Angular\14-Clean-Architecture-Node-Express-Mongo\src\domain\use-cases\product\create-product.use-case.ts", "TypeScript", 0, 0, 29, 0, 0, 6, 17, 52
"c:\Users\Usuario\Desktop\Practica Angular\14-Clean-Architecture-Node-Express-Mongo\src\domain\use-cases\product\create-unit.use-case.ts", "TypeScript", 0, 0, 31, 0, 0, 5, 13, 49
"c:\Users\Usuario\Desktop\Practica Angular\14-Clean-Architecture-Node-Express-Mongo\src\domain\use-cases\product\delete-category.use-case.ts", "TypeScript", 0, 0, 26, 0, 0, 3, 9, 38
"c:\Users\Usuario\Desktop\Practica Angular\14-Clean-Architecture-Node-Express-Mongo\src\domain\use-cases\product\delete-product.use-case.ts", "TypeScript", 0, 0, 24, 0, 0, 4, 10, 38
"c:\Users\Usuario\Desktop\Practica Angular\14-Clean-Architecture-Node-Express-Mongo\src\domain\use-cases\product\delete-unit.use-case.ts", "TypeScript", 0, 0, 26, 0, 0, 4, 10, 40
