"filename", "language", "TypeScript", "comment", "blank", "total"
"c:\Users\Usuario\Desktop\Practica Angular\14-back\src\presentation\payment\controller.payment.ts", "TypeScript", 512, 24, 84, 620
"c:\Users\Usuario\Desktop\Practica Angular\14-back\src\presentation\payment\routes.payment-method.ts", "TypeScript", 41, 5, 7, 53
"c:\Users\Usuario\Desktop\Practica Angular\14-back\src\presentation\payment\routes.payment.ts", "TypeScript", 43, 8, 9, 60
"c:\Users\Usuario\Desktop\Practica Angular\14-back\src\presentation\products\controller.category.ts", "TypeScript", 75, 14, 33, 122
"c:\Users\Usuario\Desktop\Practica Angular\14-back\src\presentation\products\controller.product.ts", "TypeScript", 257, 7, 18, 282
"c:\Users\Usuario\Desktop\Practica Angular\14-back\src\presentation\products\controller.tag.ts", "TypeScript", 62, 1, 11, 74
"c:\Users\Usuario\Desktop\Practica Angular\14-back\src\presentation\products\controller.unit.ts", "TypeScript", 73, 11, 28, 112
"c:\Users\Usuario\Desktop\Practica Angular\14-back\src\presentation\products\routes.category..ts", "TypeScript", 18, 2, 5, 25
"c:\Users\Usuario\Desktop\Practica Angular\14-back\src\presentation\products\routes.product.ts", "TypeScript", 30, 26, 8, 64
"c:\Users\Usuario\Desktop\Practica Angular\14-back\src\presentation\products\routes.tag.ts", "TypeScript", 15, 4, 6, 25
"c:\Users\Usuario\Desktop\Practica Angular\14-back\src\presentation\products\routes.unit.ts", "TypeScript", 18, 2, 4, 24
"c:\Users\Usuario\Desktop\Practica Angular\14-back\src\presentation\routes.ts", "TypeScript", 79, 7, 13, 99
"c:\Users\Usuario\Desktop\Practica Angular\14-back\src\presentation\sales\controller.ts", "TypeScript", 107, 1, 23, 131
"c:\Users\Usuario\Desktop\Practica Angular\14-back\src\presentation\sales\routes.ts", "TypeScript", 46, 5, 8, 59
"c:\Users\Usuario\Desktop\Practica Angular\14-back\src\presentation\server.ts", "TypeScript", 105, 12, 21, 138
"c:\Users\Usuario\Desktop\Practica Angular\14-back\src\seeders\index.ts", "TypeScript", 33, 4, 8, 45
"c:\Users\Usuario\Desktop\Practica Angular\14-back\src\seeders\order-status.seeder.ts", "TypeScript", 133, 6, 13, 152
"c:\Users\Usuario\Desktop\Practica Angular\14-back\src\seeders\payment-method.seeder.ts", "TypeScript", 99, 6, 15, 120
"Total", "-", 19304, 1822, 3465, 24591
